University Name
"Air University, Islamabad"
"Al-karam International University, Islamabad"
"Al-khair University [ajk], Islamabad"
"Allama Iqbal Open University, Islamabad"
"Bahria University, E-8 Campus, Islamabad"
"Capital University Of Science And Technology, Islamabad"
"Comsats University Islamabad, Islamabad"
"Federal Urdu University Of Arts Science & Technology Islamabad, Islamabad"
"Foundation University, Islamabad"
"Ibadat International University Islamabad, Islamabad"
"Institute Of Space Technology, Islamabad"
"International Islamic University, Islamabad"
"Mohiuddin Islamic University[islamabad Campus], Islamabad"
"Muslim Youth University, Islamabad"
"National Defence University, Islamabad"
"National Skills University, Islamabad"
"National University Of Computer And Emerging Sciences, Islamabad, Islamabad"
"National University Of Modern Languages, Islamabad, Islamabad"
"National University Of Science & Technology, Islamabad"
"National University Of Technology, Islamabad"
"Northern University, Islamabad"
"Pakistan Institute Of Development Economics, Islamabad"
"Pakistan Institute Of Engineering & Applied Sciences, Islamabad"
"Parc Institute Of Advance Studies In Agriculture, Islamabad"
"Quaid-e-azam University, Islamabad"
"Riphah International University, Islamabad"
"Shaheed Zulfiqar Ali Bhutto Medical University, Pims, Islamabad"
"Shifa Tameer-e-millat University, Islamabad"
"Sir Syed Case Institute Of Technology, Islamabad"
"Abasyn University (sub Campus), Islamabad"
"Air University, H-11 Campus, Islamabad"
"Alhamd Islamic University [ibd], Islamabad"
"Bahria University, H-11 Campus, Islamabad"
