University Name,Detail URL,Phone,Program Name,Duration,Fee/Sem,Merit Deadline
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Artificial Intelligence,4 Years,115500,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BE - Bio-medical,4 Years,112050,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Bioinformatics,4 Years,NA,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Computational Mathematics,4 Years,NA,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Computational Physics,4 Years,NA,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Computer Engineering,4 Years,99600,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Computer Games Development,4 Years,93375,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Computer Science,4 Years,86100,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,AD - Computer Science,2 Years,93150,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Cyber Psychology,4 Years,NA,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Cyber Security,4 Years,112050,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Data Science,4 Years,93375,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Electrical,4 Years,112050,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BE - Electronics,4 Years,112050,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Embedded System,4 Years,NA,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Information Technology,4 Years,86100,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BE - Mechanical,4 Years,105825,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BE - Mechatronics,4 Years,99600,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BE - Power,4 Years,112050,25-07-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Software Engineering,4 Years,93375,15-09-2025
"Air University, Islamabad",https://www.eduvision.edu.pk/air-university-au-islamabad-ins-884,0519262557,BS - Statistics,4 Years,NA,25-07-2025
